No,X2 house age,Y house price of unit area
1,32,37.9
2,19.5,42.2
3,13.3,47.3
4,13.3,54.8
5,5,43.1
6,7.1,32.1
7,34.5,40.3
8,20.3,46.7
9,31.7,18.8
10,17.9,22.1
11,34.8,41.4
12,6.3,58.1
13,13,39.3
14,20.4,23.8
15,13.2,34.3
16,35.7,50.5
17,0,70.1
18,17.7,37.4
19,16.9,42.3
20,1.5,47.7
21,4.5,29.3
22,10.5,51.6
23,14.7,24.6
24,10.1,47.9
25,39.6,38.8
26,29.3,27
27,3.1,56.2
28,10.4,33.6
29,19.2,47
30,7.1,57.1
31,25.9,22.1
32,29.6,25
33,37.9,34.2
34,16.5,49.3
35,15.4,55.1
36,13.9,27.3
37,14.7,22.9
38,12,25.3
39,3.1,47.7
40,16.2,46.2
41,13.6,15.9
42,16.8,18.2
43,36.1,34.7
44,34.4,34.1
45,2.7,53.9
46,36.6,38.3
47,21.7,42
48,35.9,61.5
